driver_race,location,n_stops,county_population
Black drivers,06069,2561.0,359.0
Hispanic drivers,06069,28348.0,23506.0
White drivers,06069,22490.0,17796.0
Black drivers,06071,28274.0,133779.0
Hispanic drivers,06071,96153.0,749926.0
White drivers,06071,115265.0,550266.0
Black drivers,06073,24534.0,123252.0
Hispanic drivers,06073,152952.0,764488.0
White drivers,06073,153584.0,1302766.0
Black drivers,06075,7953.0,39091.0
Hispanic drivers,06075,9485.0,104925.0
White drivers,06075,25146.0,318025.0
Black drivers,06077,8016.0,37657.0
Hispanic drivers,06077,24387.0,191845.0
White drivers,06077,32317.0,205429.0
Black drivers,06079,1049.0,4771.0
Hispanic drivers,06079,9556.0,43360.0
White drivers,06079,28928.0,167959.0
Black drivers,06081,3607.0,15993.0
Hispanic drivers,06081,13806.0,139323.0
White drivers,06081,30341.0,260476.0
Black drivers,06085,4725.0,36726.0
Hispanic drivers,06085,26968.0,355246.0
White drivers,06085,34889.0,539918.0
Black drivers,06087,887.0,2153.0
Hispanic drivers,06087,10323.0,62981.0
White drivers,06087,27501.0,137686.0
Black drivers,06089,921.0,1184.0
Hispanic drivers,06089,4550.0,11218.0
White drivers,06089,37493.0,121283.0
Black drivers,06091,1209.0,6.0
Hispanic drivers,06091,3537.0,221.0
White drivers,06091,19907.0,2294.0
Black drivers,06095,11720.0,48228.0
Hispanic drivers,06095,16969.0,74785.0
White drivers,06095,35996.0,145806.0
Black drivers,06097,1911.0,5942.0
Hispanic drivers,06097,10912.0,88389.0
White drivers,06097,38918.0,279918.0
Black drivers,06099,2118.0,10272.0
Hispanic drivers,06099,16501.0,156042.0
White drivers,06099,19490.0,197072.0
Black drivers,06101,1259.0,1457.0
Hispanic drivers,06101,4443.0,18903.0
White drivers,06101,15480.0,38030.0
Black drivers,06103,1239.0,319.0
Hispanic drivers,06103,7110.0,9754.0
White drivers,06103,19051.0,36951.0
Black drivers,06105,87.0,51.0
Hispanic drivers,06105,212.0,710.0
White drivers,06105,5940.0,9635.0
Black drivers,06107,1459.0,4357.0
Hispanic drivers,06107,35030.0,187106.0
White drivers,06107,19516.0,115795.0
Black drivers,06109,186.0,1013.0
Hispanic drivers,06109,1540.0,4728.0
White drivers,06109,12994.0,38196.0
Black drivers,06113,1768.0,4009.0
Hispanic drivers,06113,4273.0,45989.0
White drivers,06113,11271.0,85606.0
Black drivers,08001,792.0,10229.0
Hispanic drivers,08001,5916.0,122176.0
White drivers,08001,13807.0,199791.0
Black drivers,08003,80.0,158.0
Hispanic drivers,08003,1599.0,5403.0
White drivers,08003,2953.0,6606.0
Black drivers,08005,1482.0,46246.0
Hispanic drivers,08005,1611.0,75608.0
White drivers,08005,8636.0,314529.0
Black drivers,08007,25.0,33.0
Hispanic drivers,08007,354.0,1615.0
White drivers,08007,3672.0,8171.0
Black drivers,08009,79.0,19.0
Hispanic drivers,08009,254.0,241.0
White drivers,08009,987.0,2673.0
Black drivers,08011,31.0,403.0
Hispanic drivers,08011,255.0,1509.0
White drivers,08011,876.0,2981.0
Black drivers,08013,200.0,2225.0
Hispanic drivers,08013,1115.0,28925.0
