driver_race,location,n_hits,n_searches
Black drivers,C7,39.0,301.0
Hispanic drivers,C7,4.0,154.0
White drivers,D2,39.0,501.0
Black drivers,D2,54.0,511.0
Hispanic drivers,D2,5.0,155.0
White drivers,D6,27.0,350.0
Black drivers,D6,8.0,94.0
Hispanic drivers,D6,10.0,120.0
White drivers,E1,76.0,367.0
Black drivers,E1,49.0,161.0
Hispanic drivers,E1,13.0,97.0
White drivers,E4,68.0,399.0
Black drivers,E4,34.0,171.0
Hispanic drivers,E4,12.0,86.0
White drivers,E6,31.0,309.0
Black drivers,E6,13.0,142.0
Hispanic drivers,E6,4.0,56.0
White drivers,F4,34.0,422.0
Black drivers,F4,17.0,84.0
Hispanic drivers,F4,2.0,32.0
White drivers,F5,83.0,433.0
Black drivers,F5,16.0,68.0
Hispanic drivers,F5,11.0,68.0
White drivers,G5,161.0,352.0
Black drivers,G5,30.0,78.0
Hispanic drivers,G5,13.0,102.0
White drivers,G6,99.0,559.0
Black drivers,G6,3.0,20.0
Hispanic drivers,G6,3.0,25.0
White drivers,H1,56.0,343.0
Black drivers,H1,28.0,185.0
Hispanic drivers,H1,2.0,35.0
White drivers,H2,22.0,346.0
Black drivers,H2,29.0,428.0
Hispanic drivers,H2,8.0,87.0
White drivers,H3,41.0,369.0
Black drivers,H3,19.0,254.0
Hispanic drivers,H3,5.0,62.0
White drivers,H5,43.0,334.0
Black drivers,H5,51.0,364.0
Hispanic drivers,H5,12.0,95.0
White drivers,Zone K2,251.0,627.0
Black drivers,Zone K2,71.0,208.0
Hispanic drivers,Zone K2,58.0,175.0
White drivers,Zone K3,616.0,1035.0
Black drivers,Zone K3,244.0,422.0
Hispanic drivers,Zone K3,143.0,314.0
White drivers,Zone X3,195.0,539.0
Black drivers,Zone X3,76.0,285.0
Hispanic drivers,Zone X3,102.0,344.0
White drivers,Zone X4,664.0,1329.0
Black drivers,Zone X4,404.0,874.0
Hispanic drivers,Zone X4,343.0,814.0
White drivers,45003,851.0,2529.0
Black drivers,45003,530.0,1701.0
Hispanic drivers,45003,71.0,466.0
White drivers,45005,15.0,439.0
Black drivers,45005,79.0,536.0
Hispanic drivers,45005,3.0,28.0
White drivers,45007,1013.0,3157.0
Black drivers,45007,474.0,1465.0
Hispanic drivers,45007,44.0,293.0
White drivers,45009,54.0,194.0
Black drivers,45009,103.0,483.0
Hispanic drivers,45009,1.0,10.0
White drivers,45011,90.0,331.0
Black drivers,45011,140.0,553.0
Hispanic drivers,45011,14.0,34.0
White drivers,45013,239.0,1273.0
Black drivers,45013,174.0,570.0
Hispanic drivers,45013,70.0,611.0
White drivers,45015,332.0,1350.0
Black drivers,45015,181.0,654.0
Hispanic drivers,45015,20.0,224.0
White drivers,45019,207.0,842.0
Black drivers,45019,197.0,703.0
Hispanic drivers,45019,57.0,278.0
White drivers,45021,267.0,1141.0
Black drivers,45021,208.0,582.0
Hispanic drivers,45021,15.0,133.0
White drivers,45023,150.0,673.0
Black drivers,45023,121.0,615.0
Hispanic drivers,45023,9.0,84.0
White drivers,45025,82.0,424.0
Black drivers,45025,88.0,337.0
Hispanic drivers,45025,8.0,32.0
White drivers,45029,78.0,294.0
Black drivers,45029,76.0,257.0
Hispanic drivers,45029,22.0,57.0
White drivers,45031,137.0,1243.0
Black drivers,45031,162.0,1403.0
Hispanic drivers,45031,4.0,60.0
White drivers,45035,289.0,1146.0
Black drivers,45035,194.0,833.0
