"state","driver_race","quarter","pre_legalization","misdemeanor_rate"
"WA","Hispanic",2013-08-15,FALSE,0.00141582896786068
"WA","Hispanic",2013-11-15,FALSE,0.00195551209973112
"WA","Hispanic",2014-02-15,FALSE,0.00169120573020294
"WA","Hispanic",2014-05-15,FALSE,0.000953159041394336
"WA","Hispanic",2014-08-15,FALSE,0.00107890736109068
"WA","Hispanic",2014-11-15,FALSE,0.00149588631264024
"WA","Hispanic",2015-02-15,FALSE,0.00212266281275404
"WA","Hispanic",2015-05-15,FALSE,0.00213247172859451
"WA","Hispanic",2015-08-15,FALSE,0.00171461230710612
"WA","Hispanic",2015-11-15,FALSE,0.00165359790899877
