state,county_name,county_fips,district
NC,Currituck County,37053,A1
NC,Dare County,37055,A1
NC,Davidson County,37057,E1
NC,Davie County,37059,E7
NC,Duplin County,37061,B4
NC,Durham County,37063,C7
NC,Edgecombe County,37065,C1
NC,Forsyth County,37067,E4
NC,Franklin County,37069,C4
NC,Gaston County,37071,H1
NC,Gates County,37073,A2
NC,Graham County,37075,G6
NC,Granville County,37077,C7
NC,Greene County,37079,C5
NC,Guilford County,37081,D2
NC,Halifax County,37083,C8
NC,Harnett County,37085,B8
NC,Haywood County,37087,G5
NC,Henderson County,37089,G3
NC,Hertford County,37091,A2
NC,Hoke County,37093,H6
NC,Hyde County,37095,A4
NC,Iredell County,37097,F4
NC,Jackson County,37099,G5
NC,Johnston County,37101,C6
NC,Jones County,37103,A7
NC,Lee County,37105,D1
NC,Lenoir County,37107,A7
NC,Lincoln County,37109,F5
NC,Macon County,37113,G6
NC,Madison County,37115,G1
NC,Martin County,37117,A5
NC,Mecklenburg County,37119,H5
NC,McDowell County,37111,G2
NC,Mitchell County,37121,G1
NC,Montgomery County,37123,E2
NC,Moore County,37125,H6
NC,Nash County,37127,C1
NC,New Hanover County,37129,B6
NC,Northampton County,37131,C8
NC,Onslow County,37133,B3
NC,Orange County,37135,D7
NC,Pamlico County,37137,A6
NC,Pasquotank County,37139,A3
NC,Pender County,37141,B4
NC,Perquimans County,37143,A3
NC,Person County,37145,D4
NC,Pitt County,37147,A5
NC,Polk County,37149,G3
NC,Randolph County,37151,D6
NC,Richmond County,37153,H2
NC,Robeson County,37155,B7
NC,Rockingham County,37157,D3
NC,Rowan County,37159,E3
NC,Rutherford County,37161,G2
NC,Sampson County,37163,B2
NC,Scotland County,37165,H2
NC,Stanly County,37167,E2
NC,Stokes County,37169,E5
NC,Surry County,37171,E5
NC,Swain County,37173,G6
NC,Transylvania County,37175,G3
NC,Tyrrell County,37177,A4
NC,Union County,37179,H3
NC,Vance County,37181,C4
NC,Wake County,37183,C3
NC,Warren County,37185,C4
NC,Washington County,37187,A4
NC,Watauga County,37189,F3
NC,Wayne County,37191,C2
NC,Wilkes County,37193,F2
NC,Wilson County,37195,C5
NC,Yadkin County,37197,E7
NC,Yancey County,37199,G1
IL,Adams County,17001,ILLINOIS STATE POLICE 20
IL,Alexander County,17003,ILLINOIS STATE POLICE 22
IL,Bond County,17005,ILLINOIS STATE POLICE 11
IL,Boone County,17007,ILLINOIS STATE POLICE 16
IL,Brown County,17009,ILLINOIS STATE POLICE 20
IL,Bureau County,17011,ILLINOIS STATE POLICE 17
IL,Calhoun County,17013,ILLINOIS STATE POLICE 18
IL,Carroll County,17015,ILLINOIS STATE POLICE 01
IL,Cass County,17017,ILLINOIS STATE POLICE 09
IL,Champaign County,17019,ILLINOIS STATE POLICE 10
IL,Christian County,17021,ILLINOIS STATE POLICE 09
IL,Clark County,17023,ILLINOIS STATE POLICE 12
IL,Clay County,17025,ILLINOIS STATE POLICE 12
IL,Clinton County,17027,ILLINOIS STATE POLICE 11
IL,Coles County,17029,ILLINOIS STATE POLICE 10
IL,Cook County,17031,ILLINOIS STATE POLICE 03
IL,Crawford County,17033,ILLINOIS STATE POLICE 12
IL,Cumberland County,17035,ILLINOIS STATE POLICE 12
IL,DeKalb County,17037,ILLINOIS STATE POLICE 02
IL,De Witt County,17039,ILLINOIS STATE POLICE 06
IL,Douglas County,17041,ILLINOIS STATE POLICE 10
IL,DuPage County,17043,ILLINOIS STATE POLICE 02
IL,Edgar County,17045,ILLINOIS STATE POLICE 10
IL,Edwards County,17047,ILLINOIS STATE POLICE 19
IL,Effingham County,17049,ILLINOIS STATE POLICE 12
IL,Fayette County,17051,ILLINOIS STATE POLICE 12
IL,Ford County,17053,ILLINOIS STATE POLICE 21
IL,Franklin County,17055,ILLINOIS STATE POLICE 13
IL,Fulton County,17057,ILLINOIS STATE POLICE 14
IL,Gallatin County,17059,ILLINOIS STATE POLICE 19
IL,Greene County,17061,ILLINOIS STATE POLICE 18
IL,Grundy County,17063,ILLINOIS STATE POLICE 05
IL,Hamilton County,17065,ILLINOIS STATE POLICE 19
IL,Hancock County,17067,ILLINOIS STATE POLICE 14
IL,Hardin County,17069,ILLINOIS STATE POLICE 22
IL,Henderson County,17071,ILLINOIS STATE POLICE 14
IL,Henry County,17073,ILLINOIS STATE POLICE 07
IL,Iroquois County,17075,ILLINOIS STATE POLICE 21
IL,Jackson County,17077,ILLINOIS STATE POLICE 13
IL,Jasper County,17079,ILLINOIS STATE POLICE 12
IL,Jefferson County,17081,ILLINOIS STATE POLICE 13
IL,Jersey County,17083,ILLINOIS STATE POLICE 18
IL,Jo Daviess County,17085,ILLINOIS STATE POLICE 16
IL,Johnson County,17087,ILLINOIS STATE POLICE 22
IL,Kane County,17089,ILLINOIS STATE POLICE 02
IL,Kankakee County,17091,ILLINOIS STATE POLICE 21
IL,Kendall County,17093,ILLINOIS STATE POLICE 05
IL,Knox County,17095,ILLINOIS STATE POLICE 07
IL,Lake County,17097,ILLINOIS STATE POLICE 02
IL,LaSalle County,17099,ILLINOIS STATE POLICE 17
IL,Lawrence County,17101,ILLINOIS STATE POLICE 12
IL,Lee County,17103,ILLINOIS STATE POLICE 01
IL,Livingston County,17105,ILLINOIS STATE POLICE 06
IL,Logan County,17107,ILLINOIS STATE POLICE 09
IL,Macon County,17115,ILLINOIS STATE POLICE 10
IL,Macoupin County,17117,ILLINOIS STATE POLICE 18
IL,Madison County,17119,ILLINOIS STATE POLICE 11
IL,Marion County,17121,ILLINOIS STATE POLICE 12
IL,Marshall County,17123,ILLINOIS STATE POLICE 08
