"state","location_raw","county_name"
CT,"419","Fairfield County"
CT,"`new haven","New Haven County"
CT,"aansonia","New Haven County"
CT,"andover","Tolland County"
CT,"ansonia","New Haven County"
CT,"ashford","Windham County"
CT,"avon","Hartford County"
CT,"barkhamsted","Litchfield County"
CT,"beacon falls","New Haven County"
CT,"behel","Fairfield County"
CT,"belle haven","Fairfield County"
CT,"berlin","Hartford County"
CT,"betel","Fairfield County"
CT,"bethany","New Haven County"
CT,"bethel","Fairfield County"
CT,"bethle","Fairfield County"
CT,"bethlehem","Litchfield County"
CT,"bloomfield","Hartford County"
CT,"bolton","Tolland County"
CT,"bozrah","New London County"
CT,"branford","New Haven County"
CT,"bridgeport","Fairfield County"
CT,"bridgewater","Litchfield County"
CT,"bristol","Hartford County"
CT,"bristol, ct","Hartford County"
CT,"brookfield","Fairfield County"
CT,"brooklyn","Windham County"
CT,"burlington","Hartford County"
CT,"byram","Fairfield County"
CT,"canaan","Litchfield County"
CT,"canterbury","Windham County"
CT,"canton","Hartford County"
CT,"ccsu - new britain","Hartford County"
CT,"centerbrook","Middlesex County"
CT,"central villag","Windham County"
CT,"central village","Windham County"
CT,"central villatge","Windham County"
CT,"central villiage","Windham County"
CT,"central","Fairfield County"
CT,"centralvillage","Windham County"
CT,"centrel village","Windham County"
CT,"cetnral village","Windham County"
CT,"chaplin","Windham County"
CT,"cheshire","New Haven County"
CT,"chester","Middlesex County"
CT,"chickahominy","Fairfield County"
CT,"city of groon","New London County"
CT,"city of groton","New London County"
CT,"clinton","Middlesex County"
CT,"colchester","New London County"
CT,"colebrook","Litchfield County"
CT,"collinsville","Hartford County"
CT,"columbia","Tolland County"
CT,"cornwall","Litchfield County"
CT,"cos cob","Fairfield County"
CT,"coventry","Tolland County"
CT,"cromwell","Middlesex County"
CT,"danbury","Fairfield County"
CT,"danielson","Windham County"
CT,"darien","Fairfield County"
CT,"deep river","Middlesex County"
CT,"deer park","Fairfield County"
CT,"derby","New Haven County"
CT,"dixwell","New Haven County"
CT,"durham","Middlesex County"
CT,"e granby","Hartford County"
CT,"e hartford","Hartford County"
CT,"e lyme","New London County"
CT,"east granby","Hartford County"
CT,"east haddam","Middlesex County"
CT,"east hampton","Middlesex County"
CT,"east hamtpon","Middlesex County"
CT,"east hamtpton","Middlesex County"
CT,"east hartford","Hartford County"
CT,"east haven","New Haven County"
CT,"east lyme","New London County"
CT,"east windsor","Hartford County"
CT,"eastford","Windham County"
CT,"easton","Fairfield County"
CT,"ellington","Tolland County"
CT,"elmwood","Hartford County"
CT,"enfield","Hartford County"
CT,"essex","Middlesex County"
CT,"fairfield","Fairfield County"
CT,"falls village","Litchfield County"
CT,"farmington","Hartford County"
CT,"franklin","New London County"
CT,"glastonbury","Hartford County"
CT,"glenville","Fairfield County"
CT,"goshen","Litchfield County"
CT,"granby","Hartford County"
CT,"greenwich","Fairfield County"
CT,"griswold","New London County"
CT,"griwold","New London County"
CT,"groton city","New London County"
CT,"groton long point","New London County"
CT,"groton town","New London County"
CT,"groton","New London County"
CT,"grton city","New London County"
CT,"guidlford","New Haven County"
CT,"guiford","New Haven County"
CT,"guil ford","New Haven County"
CT,"guilford 25","New Haven County"
CT,"guilford","New Haven County"
CT,"guilfords","New Haven County"
CT,"haddam","Middlesex County"
CT,"hamden","New Haven County"
CT,"hampton","Windham County"
CT,"hartford","Hartford County"
CT,"hartland","Hartford County"
CT,"harwinton","Litchfield County"
CT,"hebron","Tolland County"
CT,"ivoryton","Middlesex County"
CT,"kent","Litchfield County"
CT,"killingly","Windham County"
CT,"killingworth","Middlesex County"
CT,"lebanon","New London County"
CT,"ledyard","New London County"
CT,"lisbon","New London County"
CT,"litchfield","Litchfield County"
CT,"lost acres","Hartford County"
CT,"lyme","New London County"
CT,"madison","New Haven County"
CT,"manchester","Hartford County"
CT,"mansfield","Tolland County"
CT,"marlborough","Hartford County"
CT,"meride","New Haven County"
CT,"meriden","New Haven County"
CT,"meriden`","New Haven County"
CT,"middlebury","New Haven County"
CT,"middlefield","Middlesex County"
CT,"middletown","Middlesex County"
CT,"milbrook","Hartford County"
CT,"milford","New Haven County"
CT,"monroe","Fairfield County"
CT,"montville","New London County"
CT,"moosoup","Windham County"
CT,"moosu","Windham County"
CT,"moosup","Windham County"
CT,"morris","Litchfield County"
CT,"morse","New Haven County"
CT,"mosoup","Windham County"
CT,"msytic","New London County"
CT,"mystic","New London County"
CT,"mystix","New London County"
CT,"n branford","New Haven County"
CT,"n mianus","Fairfield County"
CT,"naugatuck","New Haven County"
CT,"new britain","Hartford County"
CT,"new canaan","Fairfield County"
CT,"new fairfield","Fairfield County"
CT,"new hartford","Litchfield County"
CT,"new haven ct","New Haven County"
CT,"new haven","New Haven County"
CT,"new london","New London County"
CT,"new milford","Litchfield County"
CT,"new","New Haven County"
CT,"newhaven","New Haven County"
CT,"newington","Hartford County"
CT,"newtown","Fairfield County"
CT,"no branford","New Haven County"
CT,"no canaan","Litchfield County"
CT,"no stonington","New London County"
CT,"noank","New London County"
CT,"norfolk","Litchfield County"
CT,"north branford","New Haven County"
CT,"north canaan","Litchfield County"
CT,"north haven","New Haven County"
CT,"north stonington","New London County"
CT,"north windham","Windham County"
CT,"northford","New Haven County"
CT,"norwalk","Fairfield County"
CT,"norwich","New London County"
CT,"norwichn","New London County"
CT,"oakville","Litchfield County"
CT,"old g'wch","Fairfield County"
CT,"old greenwich","Fairfield County"
CT,"old lyme","New London County"
CT,"old mystic","New London County"
CT,"old saybrook","Middlesex County"
CT,"old saybrrok","Middlesex County"
CT,"orange ct","New Haven County"
CT,"orange","New Haven County"
CT,"oxford","New Haven County"
CT,"parkside dr","New London County"
CT,"pawcatuck","New London County"
CT,"pemberwick","Fairfield County"
CT,"plainfeild","Windham County"
CT,"plainfield","Windham County"
CT,"plainville","Hartford County"
CT,"plymouth","Litchfield County"
CT,"pomfret","Windham County"
CT,"portland","Middlesex County"
CT,"preston","New London County"
CT,"prospect","New Haven County"
CT,"putnam","Windham County"
CT,"quaker hill","New London County"
CT,"quaker","New London County"
CT,"redding","Fairfield County"
CT,"ridgefield","Fairfield County"
CT,"riverside","Fairfield County"
CT,"rock ridge","Hartford County"
CT,"rocky hill","Hartford County"
CT,"roxbury","Litchfield County"
CT,"salem","New London County"
CT,"salisbury","Litchfield County"
CT,"scotland","Windham County"
CT,"seymour","New Haven County"
CT,"sharon","Litchfield County"
CT,"shelton","Fairfield County"
CT,"sherman","Fairfield County"
CT,"simsbury","Hartford County"
CT,"somers","Tolland County"
CT,"south windham","Windham County"
CT,"south windsor","Hartford County"
CT,"southbury","New Haven County"
CT,"southington","Hartford County"
CT,"southport","Fairfield County"
CT,"sprague - baltic","New London County"
CT,"sprague - versailles","New London County"
CT,"sprague","New London County"
CT,"stafford","Tolland County"
CT,"stamford","Fairfield County"
CT,"sterling","Windham County"
CT,"stonington","New London County"
CT,"storrs","Tolland County"
CT,"stratford","Fairfield County"
CT,"suffield","Hartford County"
CT,"taftville","New London County"
CT,"tariffville","Hartford County"
CT,"terryville","Litchfield County"
CT,"thomaston","Litchfield County"
CT,"thompson","Windham County"
CT,"tolland","Tolland County"
CT,"torrington","Litchfield County"
CT,"trumbull","Fairfield County"
CT,"uncasville","New London County"
CT,"union","Tolland County"
CT,"unionville","Hartford County"
CT,"vernon","Tolland County"
CT,"voluntown","New London County"
CT,"wall","Tolland County"
CT,"wallingfod","New Haven County"
CT,"wallingfofrd","New Haven County"
CT,"wallingfor","New Haven County"
CT,"wallingford","New Haven County"
CT,"wallingford/no haven","New Haven County"
CT,"wallngford","New Haven County"
CT,"wallnigford","New Haven County"
CT,"warren","Litchfield County"
CT,"washighton","Litchfield County"
CT,"washington","Litchfield County"
CT,"waterbury","New Haven County"
CT,"waterford","New London County"
CT,"watertown","Litchfield County"
CT,"waureagn","Windham County"
CT,"waurean","Windham County"
CT,"wauregan","Windham County"
CT,"weatogue","Hartford County"
CT,"west hartford","Hartford County"
CT,"west haven","New Haven County"
CT,"west simsburuy","Hartford County"
CT,"west simsbury","Hartford County"
CT,"west[prt","Fairfield County"
CT,"westbrook","Middlesex County"
CT,"weston","Fairfield County"
CT,"westport","Fairfield County"
CT,"westportq","Fairfield County"
CT,"westportr","Fairfield County"
CT,"westpoty","Fairfield County"
CT,"wethersfield","Hartford County"
CT,"willimantic","Windham County"
CT,"willington","Tolland County"
CT,"wilton","Fairfield County"
CT,"winchester","Litchfield County"
CT,"windham center","Windham County"
CT,"windham","Windham County"
CT,"windsor locks","Hartford County"
CT,"windsor","Hartford County"
CT,"winsted","Litchfield County"
CT,"wolcott","New Haven County"
CT,"woodbridge","New Haven County"
CT,"woodbury","Litchfield County"
CT,"woodstock","Windham County"
CT,"yalesville","New Haven County"
IA,"01","Adair County"
IA,"02","Adams County"
IA,"03","Allamakee County"
IA,"04","Appanoose County"
IA,"05","Audubon County"
IA,"06","Benton County"
IA,"07","Black Hawk County"
IA,"08","Boone County"
IA,"09","Bremer County"
IA,"10","Buchanan County"
IA,"11","Buena Vista County"
IA,"12","Butler County"
IA,"13","Calhoun County"
IA,"14","Carroll County"
IA,"15","Cass County"
IA,"16","Cedar County"
IA,"17","Cerro Gordo County"
IA,"18","Cherokee County"
IA,"19","Chickasaw County"
IA,"20","Clarke County"
IA,"21","Clay County"
IA,"22","Clayton County"
IA,"23","Clinton County"
IA,"24","Crawford County"
IA,"25","Dallas County"
IA,"26","Davis County"
IA,"27","Decatur County"
IA,"28","Delaware County"
IA,"29","Des Moines County"
IA,"30","Dickinson County"
IA,"31","Dubuque County"
IA,"32","Emmet County"
IA,"33","Fayette County"
IA,"34","Floyd County"
IA,"35","Franklin County"
IA,"36","Fremont County"
IA,"37","Greene County"
IA,"38","Grundy County"
IA,"39","Guthrie County"
IA,"40","Hamilton County"
IA,"41","Hancock County"
IA,"42","Hardin County"
IA,"43","Harrison County"
IA,"44","Henry County"
IA,"45","Howard County"
IA,"46","Humboldt County"
IA,"47","Ida County"
IA,"48","Iowa County"
IA,"49","Jackson County"
IA,"50","Jasper County"
IA,"51","Jefferson County"
IA,"52","Johnson County"
IA,"53","Jones County"
IA,"54","Keokuk County"
